Platform,Algorithm,Engine,FileSize_MB,NumThreads,Time_Sec,Throughput_MBs,Speedup,Efficiency,Verified,Energy_Joules,Power_Watts,Energy_Source
WSL,AES-256-CTR,OpenMP,5120,4,0.501450,10210.39,2.6302,0.6576,PASS,9.5137,18.97,NVIDIA SMI
WSL,AES-256-CTR,OpenMP,5120,8,0.520390,9838.78,2.5345,0.3168,PASS,9.8413,18.91,NVIDIA SMI
WSL,AES-256-CTR,OpenMP,5120,14,0.525913,9735.46,2.5079,0.1791,PASS,9.9770,18.97,NVIDIA SMI
WSL,XOR,CUDA,5120,1,1.355885,3776.13,25.5723,25.5723,PASS,76.1661,58.04,NVIDIA SMI
WSL,AES-256-CTR,CUDA,5120,1,2.654435,1928.85,0.4969,0.4969,PASS,191.4879,72.17,NVIDIA SMI
WSL,XOR,Sequential,10024,1,67.877092,147.68,1.0000,1.0000,PASS,1379.4462,20.30,NVIDIA SMI
WSL,AES-256-CTR,Sequential,10024,1,2.544905,3938.85,1.0000,1.0000,PASS,53.7582,21.12,NVIDIA SMI
WSL,XOR,OpenMP,10024,1,67.711870,148.04,1.0024,1.0024,PASS,1303.9905,19.25,NVIDIA SMI
WSL,XOR,OpenMP,10024,2,33.793984,296.62,2.0086,1.0043,PASS,561.3724,16.61,NVIDIA SMI
WSL,XOR,OpenMP,10024,4,17.376992,576.85,3.9061,0.9765,PASS,288.2214,16.59,NVIDIA SMI
WSL,XOR,OpenMP,10024,8,13.408956,747.56,5.0621,0.6328,PASS,222.4599,16.59,NVIDIA SMI
WSL,XOR,OpenMP,10024,14,12.287985,815.76,5.5239,0.3946,PASS,202.7664,16.50,NVIDIA SMI
WSL,AES-256-CTR,OpenMP,10024,1,2.498777,4011.56,1.0185,1.0185,PASS,41.3688,16.56,NVIDIA SMI
WSL,AES-256-CTR,OpenMP,10024,2,1.299059,7716.35,1.9590,0.9795,PASS,21.4946,16.55,NVIDIA SMI
WSL,AES-256-CTR,OpenMP,10024,4,0.973784,10293.87,2.6134,0.6534,PASS,16.1506,16.59,NVIDIA SMI
WSL,AES-256-CTR,OpenMP,10024,8,0.996586,10058.34,2.5536,0.3192,PASS,16.4761,16.53,NVIDIA SMI
WSL,AES-256-CTR,OpenMP,10024,14,1.007809,9946.33,2.5252,0.1804,PASS,16.6347,16.51,NVIDIA SMI
WSL,XOR,CUDA,10024,1,2.611876,3837.85,25.9879,25.9879,PASS,147.9111,58.09,NVIDIA SMI
WSL,AES-256-CTR,CUDA,10024,1,5.063441,1979.68,0.5026,0.5026,PASS,361.0339,71.32,NVIDIA SMI
